Crop,Growth_Stage,Soil_Type,N,P,K,pH,Recommended_Fertilizer
Brinjal,Flowering,Black Soil,55.9,37.1,46.3,6.75,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Black Soil,50.1,34.8,72.2,7.49,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Reddish Soil,28.2,10.7,21.9,6.22,Cow Manure Compost
Brinjal,Fruiting,Sandy Loam,55,31.9,67.3,6.6,Vermicompost
Brinjal,Fruiting,Sandy Loam,63.7,26.5,75,6.89,Vermicompost
Brinjal,Vegetative,Sandy Loam,70.7,25.7,28.5,6.94,Neem Cake
Brinjal,Vegetative,Sandy Loam,87.5,25.8,28.7,6.85,Neem Cake
Brinjal,Seedling,Reddish Soil,28.6,14.4,15.2,6.75,Vermicompost
Brinjal,Fruiting,Sandy Loam,58.3,32.6,81.6,6.54,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Sandy Loam,53.4,43.4,47.2,6.84,Seaweed Extract
Brinjal,Vegetative,Reddish Soil,67.9,21,29.6,6.8,Seaweed Extract
Brinjal,Fruiting,Sandy Loam,49.7,39.5,71.3,6.21,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,54.7,39.9,53.3,6.71,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Reddish Soil,61.1,48.9,43.3,6.33,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,62.3,47.8,36.6,6.83,Vermicompost
Brinjal,Flowering,Sandy Loam,55.8,31.7,53.7,6.58,Bone Meal
Brinjal,Flowering,Reddish Soil,68.9,37.9,48.9,6.49,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,53.5,37.2,47.7,6.57,Vermicompost
Brinjal,Fruiting,Sandy Loam,54.5,25.9,89.1,6.92,Vermicompost
Brinjal,Fruiting,Sandy Loam,47.1,35.1,80.9,6.79,Cow Manure Compost
Brinjal,Vegetative,Sandy Loam,89.8,22.1,29.7,7.15,Neem Cake
Brinjal,Flowering,Sandy Loam,57.3,48.3,50.6,6.96,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Black Soil,68.6,30.8,35.7,6.91,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Sandy Loam,27.7,11.7,19.9,7.05,Jeevamrut
Brinjal,Vegetative,Black Soil,84.3,39,26.8,6.66,Neem Cake
Brinjal,Flowering,Sandy Loam,60.1,39.3,40.1,6.71,Bone Meal
Brinjal,Vegetative,Sandy Loam,68.5,33.7,38.5,6.42,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Sandy Loam,46.5,39,78.7,6.39,Wood Ash (Organic Potash)
Brinjal,Vegetative,Sandy Loam,69.3,22.6,29,6.79,Neem Cake
Brinjal,Fruiting,Black Soil,59.9,39.5,64.1,7.34,Wood Ash (Organic Potash)
Brinjal,Seedling,Black Soil,29.4,16,17.3,7.03,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Black Soil,20.3,10.3,16.7,7.32,Cow Manure Compost + Urea (46% N) (small dose)
Brinjal,Flowering,Sandy Loam,52.7,35.8,37.9,7.01,Bone Meal
Brinjal,Fruiting,Black Soil,53.4,26.5,68.2,7.48,Vermicompost
Brinjal,Seedling,Sandy Loam,27.1,16.2,16.8,7.09,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Sandy Loam,57.3,46.7,44.1,6.92,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Sandy Loam,60,41.6,40.7,6.57,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Sandy Loam,75,38.6,36.7,6.74,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Sandy Loam,59.8,32.9,67.9,6.58,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Sandy Loam,52.7,39.7,74.3,6.32,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,65.8,42.3,35.9,7.12,Bone Meal
Brinjal,Flowering,Black Soil,63.1,48.1,38.4,7.47,Seaweed Extract
Brinjal,Flowering,Black Soil,55,49.8,42.8,7.23,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Black Soil,73.8,24.4,27.7,7.45,Vermicompost
Brinjal,Flowering,Black Soil,63.3,46.5,35.3,7.04,Vermicompost
Brinjal,Flowering,Sandy Loam,67.8,39.4,48.1,7.1,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Reddish Soil,73.4,20.1,41.4,6.36,Neem Cake
Brinjal,Fruiting,Black Soil,55.8,34.2,88.4,7.17,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Black Soil,28,16.4,12.9,6.71,Vermicompost
Brinjal,Seedling,Black Soil,23.1,17.7,16.4,7.07,Jeevamrut
Brinjal,Flowering,Reddish Soil,68.9,38.5,35.2,6.44,Bone Meal
Brinjal,Fruiting,Sandy Loam,50.8,28.2,76.3,6.73,Wood Ash (Organic Potash)
Brinjal,Fruiting,Black Soil,51.5,35.9,76.6,6.86,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Sandy Loam,64.9,36.1,40.8,6.33,Seaweed Extract
Brinjal,Flowering,Reddish Soil,55.3,40.2,37.9,6.61,Vermicompost
Brinjal,Fruiting,Black Soil,55.1,41.6,79.9,6.84,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,59.7,48,53.2,6.59,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Black Soil,25.8,18.3,12,7.44,Vermicompost
Brinjal,Seedling,Reddish Soil,22.9,17.9,16.8,6.3,Jeevamrut
Brinjal,Flowering,Reddish Soil,64.1,48.8,41.6,6.04,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Reddish Soil,88,34.4,40.1,6.22,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Sandy Loam,65.1,43,47.7,6.75,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Sandy Loam,69.1,46.3,53.1,6.22,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Black Soil,34.3,19.5,15.3,6.54,Jeevamrut
Brinjal,Fruiting,Sandy Loam,48.3,33.1,67,6.73,Cow Manure Compost
Brinjal,Seedling,Black Soil,27.3,10.9,24.6,7.02,Jeevamrut
Brinjal,Flowering,Sandy Loam,58.6,38.2,37.3,6.88,Bone Meal
Brinjal,Flowering,Sandy Loam,69.6,39.9,35.2,6.34,Vermicompost
Brinjal,Seedling,Reddish Soil,24,10.2,20.8,6.03,Jeevamrut
Brinjal,Fruiting,Sandy Loam,47,32.3,75,6.24,Vermicompost
Brinjal,Fruiting,Reddish Soil,62.2,36.3,64.7,6.69,Cow Manure Compost
Brinjal,Vegetative,Black Soil,86,34.2,27.1,7.28,Seaweed Extract
Brinjal,Fruiting,Reddish Soil,50.1,43.8,87.2,6.57,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Reddish Soil,24,16.9,24.2,6.27,Cow Manure Compost
Brinjal,Seedling,Reddish Soil,29.8,12.3,23,6.31,Cow Manure Compost
Brinjal,Flowering,Reddish Soil,50.5,32.3,47.2,6.82,Seaweed Extract
Brinjal,Fruiting,Black Soil,61.9,35,89.4,6.6,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Reddish Soil,26.5,11.6,24.2,6.77,Vermicompost
Brinjal,Fruiting,Reddish Soil,46.1,29,60.3,6.63,Cow Manure Compost
Brinjal,Seedling,Black Soil,21.9,12.1,10,6.54,Jeevamrut + Urea (46% N) (small dose)
Brinjal,Fruiting,Reddish Soil,61,33.8,74.7,6.85,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Sandy Loam,60.3,36.2,28.5,6.81,Vermicompost
Brinjal,Fruiting,Reddish Soil,46,25.6,76.6,6.76,Cow Manure Compost
Brinjal,Flowering,Black Soil,53.3,43.8,48.5,7.48,Vermicompost
Brinjal,Vegetative,Reddish Soil,75.9,28,44.1,6.64,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Reddish Soil,86.4,28.3,39.4,6.92,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Sandy Loam,53.8,39.3,71.6,6.41,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Reddish Soil,60,44.3,62.2,6.05,Vermicompost
Brinjal,Seedling,Reddish Soil,34,17.7,19.9,6.82,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Sandy Loam,65.7,45.3,49.5,6.4,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Reddish Soil,47.1,41.5,66.3,6.39,Cow Manure Compost
Brinjal,Seedling,Sandy Loam,32.8,15.5,13,6.52,Jeevamrut
Brinjal,Flowering,Black Soil,58.2,34.7,35.4,7.38,Vermicompost
Brinjal,Vegetative,Reddish Soil,85.1,20.9,29.7,6.89,Seaweed Extract
Brinjal,Fruiting,Reddish Soil,56.2,26.9,66,6.41,Wood Ash (Organic Potash)
Brinjal,Fruiting,Reddish Soil,54.3,37,65.1,6.74,Vermicompost
Brinjal,Flowering,Reddish Soil,63.3,30.3,52.4,6.45,Bone Meal
Brinjal,Seedling,Reddish Soil,32.2,10.6,18.1,6.07,Vermicompost
Brinjal,Seedling,Reddish Soil,29.7,19.7,20.7,6.92,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,60.9,31.8,50.1,7.08,Bone Meal
Brinjal,Flowering,Reddish Soil,60.4,31.5,38.8,6.84,Vermicompost + Bone Meal
Brinjal,Seedling,Sandy Loam,20.8,18.8,22.9,6.64,Cow Manure Compost + Urea (46% N) (small dose)
Brinjal,Vegetative,Black Soil,84.7,32.9,37.9,6.63,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Reddish Soil,51.4,33.9,39.3,6.74,Seaweed Extract
Brinjal,Seedling,Reddish Soil,30.3,18.8,13.1,6.87,Jeevamrut
Brinjal,Vegetative,Reddish Soil,78.6,26.8,42.1,6.43,Seaweed Extract
Brinjal,Seedling,Sandy Loam,34.4,17.2,21.8,6.9,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Reddish Soil,65.8,30.7,43.7,6.83,Neem Cake
Brinjal,Flowering,Sandy Loam,62.6,36.8,41,6.78,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,69.7,43.7,39.9,7.3,Seaweed Extract
Brinjal,Vegetative,Sandy Loam,81.6,35.3,26.8,6.71,Seaweed Extract
Brinjal,Vegetative,Black Soil,73.8,34.2,44.7,6.55,Neem Cake + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Black Soil,53.2,43.7,79.1,7.3,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Sandy Loam,61.5,47.1,39.8,7.08,Seaweed Extract
Brinjal,Vegetative,Sandy Loam,70.5,29,27.7,6.25,Neem Cake
Brinjal,Fruiting,Black Soil,59.2,25.4,72.6,7.28,Cow Manure Compost
Brinjal,Fruiting,Black Soil,47.5,28.6,74.8,6.58,Wood Ash (Organic Potash)
Brinjal,Seedling,Sandy Loam,25.9,19.6,18.1,6.49,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Black Soil,64.6,35,73.6,7.25,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Reddish Soil,63.7,36.5,36.9,6.98,Vermicompost
Brinjal,Seedling,Black Soil,21.9,10.7,23.6,6.69,Cow Manure Compost + Urea (46% N) (small dose)
Brinjal,Fruiting,Sandy Loam,60.8,36.7,87.3,7.14,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Reddish Soil,49,29.2,80.6,6.22,Vermicompost
Brinjal,Fruiting,Black Soil,48.1,32.3,71.2,6.65,Wood Ash (Organic Potash)
Brinjal,Fruiting,Sandy Loam,50,31.1,83.1,6.53,Wood Ash (Organic Potash)
Brinjal,Seedling,Black Soil,29.4,18.1,11,6.83,Cow Manure Compost
Brinjal,Vegetative,Sandy Loam,83.3,31.4,40.2,6.35,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Black Soil,80.8,39.7,29.5,7.16,Neem Cake
Brinjal,Fruiting,Reddish Soil,63,40,74.7,6.6,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Black Soil,62.2,24,32,7.12,Seaweed Extract
Brinjal,Fruiting,Black Soil,60.7,28.4,75.4,6.99,Wood Ash (Organic Potash)
Brinjal,Seedling,Sandy Loam,21.1,15.1,24.5,6.89,Vermicompost + Urea (46% N) (small dose)
Brinjal,Flowering,Black Soil,53.3,48.5,51.4,6.85,Vermicompost
Brinjal,Vegetative,Reddish Soil,64.7,20.6,43.9,6.24,Seaweed Extract
Brinjal,Flowering,Reddish Soil,62.1,48.6,51.7,7,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Reddish Soil,53,44.9,35.2,6.17,Vermicompost
Brinjal,Seedling,Black Soil,34.4,14.3,17.1,7.4,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Reddish Soil,75.5,29.2,31.3,6.58,Neem Cake
