District,Month,Soil_Type,N,P,K,pH,Temperature_C,Humidity_%,Rainfall_mm,Sunlight_lux,Recommended_Crop
Solapur,December,Loamy,87,41,42,6.24,27,82,65,51389,Tomato
Solapur,July,Red,86,49,46,6.74,24,58,68,43859,Tomato
Solapur,December,Red,81,40,54,6.62,29,41,116,67334,Tomato
Solapur,December,Black,116,45,48,6.44,22,61,73,49063,Tomato
Solapur,July,Black,96,53,48,6.54,28,78,71,41372,Tomato
Sangli,July,Black,90,45,57,6.53,29,75,90,61653,Tomato
Sangli,January,Black,104,45,51,6.21,29,61,76,45646,Tomato
Sangli,November,Red,91,52,46,6.57,20,65,111,66397,Tomato
Sangli,February,Red,80,58,43,6.77,24,50,89,54063,Tomato
Sangli,January,Loamy,118,47,42,6.95,26,63,71,53863,Tomato
Solapur,October,Loamy,99,58,42,6.84,20,84,75,31524,Tomato
Solapur,September,Black,80,50,47,6.43,26,74,52,58145,Tomato
Solapur,December,Loamy,109,45,41,6.1,24,83,108,34090,Tomato
Solapur,January,Red,91,55,58,6.73,24,56,119,35319,Tomato
Solapur,February,Black,91,54,48,6.94,29,55,66,42182,Tomato
Sangli,May,Red,86,53,54,6.7,28,47,108,59398,Tomato
Solapur,February,Loamy,109,59,46,6.46,29,78,66,54077,Tomato
Solapur,August,Loamy,113,42,44,6.53,29,62,88,58535,Tomato
Solapur,April,Black,101,52,57,6.52,29,83,115,38502,Tomato
Solapur,October,Red,109,52,52,6.38,22,78,95,46371,Tomato
Solapur,January,Black,95,51,54,6.4,28,78,54,40816,Tomato
Sangli,January,Loamy,93,57,43,6.72,24,64,97,55280,Tomato
Solapur,September,Loamy,103,43,51,6.96,24,76,92,62123,Tomato
Sangli,July,Loamy,103,50,52,6.99,26,43,108,45934,Tomato
Sangli,May,Loamy,89,50,41,6.38,28,42,55,45876,Tomato
Solapur,June,Loamy,102,56,48,6.93,29,81,84,55425,Tomato
Sangli,January,Loamy,111,42,45,6.62,28,48,117,64701,Tomato
Solapur,February,Loamy,82,48,42,6.96,29,48,89,45585,Tomato
Sangli,December,Loamy,117,47,44,6.05,21,45,86,39903,Tomato
Solapur,December,Black,92,56,57,6.5,22,42,105,41303,Tomato
Sangli,August,Loamy,92,52,40,6.88,22,55,89,32139,Tomato
Solapur,November,Loamy,92,50,52,6.7,29,75,112,33738,Tomato
Sangli,December,Loamy,84,50,52,6.87,22,70,72,42713,Tomato
Sangli,November,Black,109,46,57,6.82,26,41,62,39882,Tomato
Solapur,September,Black,119,41,52,6.78,25,58,79,59257,Tomato
Solapur,February,Loamy,107,54,44,6.1,23,59,117,44859,Tomato
Sangli,January,Red,80,57,57,6.99,23,74,101,65196,Tomato
Sangli,July,Black,90,40,45,6.37,22,50,107,60678,Tomato
Sangli,February,Red,113,43,56,6.1,28,78,64,65612,Tomato
Solapur,November,Red,93,59,50,6.27,20,83,105,62347,Tomato
Solapur,May,Loamy,95,44,59,6.4,28,44,52,35626,Tomato
Solapur,October,Red,94,41,42,6.03,28,63,61,56385,Tomato
Solapur,December,Loamy,87,53,56,6.09,27,54,76,50017,Tomato
Sangli,July,Loamy,108,51,42,6.19,28,69,66,58541,Tomato
Sangli,April,Black,117,55,41,6.8,20,47,70,56589,Tomato
Sangli,February,Red,110,45,50,6.69,20,77,90,60087,Tomato
Solapur,June,Loamy,103,48,56,6.1,25,61,69,65488,Tomato
Sangli,August,Red,112,41,40,6.09,20,52,75,45525,Tomato
Solapur,October,Red,94,41,49,6.17,20,79,110,68850,Tomato
Solapur,June,Black,85,48,46,6.61,28,51,57,66679,Tomato
Sangli,December,Red,99,54,46,6.66,23,45,107,46405,Tomato
Sangli,March,Loamy,93,50,57,6.06,26,51,62,31560,Tomato
Solapur,March,Red,98,53,43,6.74,26,71,100,54363,Tomato
Sangli,June,Red,98,44,48,6.49,29,74,110,69004,Tomato
Sangli,January,Loamy,91,56,59,6.63,23,63,99,45282,Tomato
Sangli,September,Red,113,43,41,6.6,23,45,88,42201,Tomato
Solapur,March,Red,91,42,52,6.47,24,54,75,49975,Tomato
Sangli,July,Red,93,53,41,6.18,24,77,90,65133,Tomato
Sangli,December,Black,93,46,59,6.59,25,56,77,32113,Tomato
Solapur,May,Black,80,47,51,6.13,26,70,60,63397,Tomato
Sangli,October,Black,89,51,48,6.43,23,47,92,53499,Tomato
Solapur,September,Red,99,50,44,6.36,24,83,105,47774,Tomato
Solapur,June,Loamy,99,57,53,6.06,24,59,75,57420,Tomato
Solapur,July,Loamy,85,44,44,6.1,22,53,61,65057,Tomato
Sangli,November,Loamy,113,57,46,6.45,21,62,93,43605,Tomato
Sangli,July,Red,95,57,49,6.73,27,60,50,53196,Tomato
Sangli,June,Black,101,54,41,6.66,26,65,92,52473,Tomato
Sangli,February,Red,96,47,54,6.57,27,64,95,60659,Tomato
Solapur,January,Loamy,110,55,53,6.39,24,80,111,66059,Tomato
Sangli,February,Red,88,40,48,6.99,28,52,80,30488,Tomato
Solapur,April,Red,117,53,43,6.67,25,73,62,63768,Tomato
Solapur,March,Black,90,40,46,6.01,20,51,64,39108,Tomato
Solapur,December,Black,104,40,56,6.55,22,83,60,69778,Tomato
Sangli,October,Red,88,42,47,6.52,25,67,75,34760,Tomato
Sangli,May,Red,116,54,51,6.48,26,45,95,56987,Tomato
Solapur,November,Black,100,50,55,6.65,28,75,100,43076,Tomato
Solapur,June,Loamy,113,53,43,6.26,23,66,78,36894,Tomato
Sangli,March,Red,115,57,41,6.27,23,65,56,59734,Tomato
Solapur,July,Loamy,115,59,43,6.09,25,40,93,35495,Tomato
Solapur,October,Loamy,92,48,48,6.65,27,81,73,65993,Tomato
Solapur,May,Red,103,58,43,6.42,29,64,67,67778,Tomato
Sangli,October,Black,84,54,56,6.74,21,72,70,41695,Tomato
Solapur,March,Loamy,111,50,49,6.26,28,64,51,47727,Tomato
Solapur,July,Black,97,42,49,6.43,26,80,73,59371,Tomato
Sangli,March,Red,117,49,46,6.77,23,79,85,44210,Tomato
Solapur,August,Black,85,48,46,6.07,20,41,109,40756,Tomato
Sangli,November,Black,87,45,47,6.65,25,83,107,38533,Tomato
Sangli,February,Loamy,81,45,56,7.0,26,69,57,30661,Tomato
Sangli,October,Black,92,54,55,6.41,28,55,61,59328,Tomato
Sangli,December,Loamy,95,52,58,6.15,24,59,114,62376,Tomato
Sangli,May,Red,101,57,47,6.76,20,55,87,39715,Tomato
Sangli,April,Black,102,57,52,6.36,24,41,114,68067,Tomato
Sangli,July,Red,83,57,45,6.92,25,76,61,61982,Tomato
Solapur,October,Red,97,52,42,6.67,29,69,55,58495,Tomato
Solapur,April,Red,88,54,42,6.17,21,74,69,58937,Tomato
Solapur,February,Black,112,43,53,6.14,25,42,90,53429,Tomato
Solapur,May,Red,87,41,43,6.14,23,84,109,53563,Tomato
Sangli,December,Black,110,53,59,6.44,25,71,92,50733,Tomato
Sangli,December,Loamy,98,58,44,6.78,29,64,51,66618,Tomato
Sangli,August,Loamy,88,58,48,6.14,28,67,111,58141,Tomato
Solapur,July,Black,83,43,46,6.23,24,78,101,33292,Tomato
Sangli,April,Red,118,57,44,6.89,22,46,76,56715,Tomato
Sangli,July,Black,101,44,41,6.13,24,77,70,53177,Tomato
Solapur,October,Loamy,84,40,52,6.01,21,84,102,65153,Tomato
Solapur,April,Black,114,56,50,6.45,23,65,117,55121,Tomato
Sangli,December,Red,119,42,48,6.61,25,81,70,60911,Tomato
Solapur,August,Black,80,41,55,6.25,29,79,70,57425,Tomato
Sangli,November,Red,87,56,54,6.89,26,63,94,61186,Tomato
Solapur,December,Black,102,44,47,6.04,28,62,92,66224,Tomato
Solapur,March,Loamy,103,56,44,6.51,27,70,60,34531,Tomato
Solapur,March,Loamy,107,58,50,6.41,24,69,57,35439,Tomato
Sangli,June,Loamy,111,55,56,6.3,27,64,115,61182,Tomato
Sangli,March,Black,115,43,53,6.07,28,49,70,50131,Tomato
Sangli,November,Red,92,55,41,6.13,20,79,67,56806,Tomato
Solapur,September,Loamy,93,57,59,6.24,24,83,81,63453,Tomato
Solapur,August,Black,114,46,56,6.26,21,60,62,69933,Tomato
Solapur,August,Red,119,53,46,6.18,25,61,71,53387,Tomato
Solapur,February,Red,108,54,59,6.82,22,62,93,33754,Tomato
Solapur,January,Loamy,98,46,51,6.64,24,47,107,66495,Tomato
Sangli,January,Black,82,40,43,6.1,29,73,59,64196,Tomato
Sangli,July,Loamy,106,41,48,6.38,28,75,107,40805,Tomato
Sangli,January,Red,93,41,59,6.33,22,70,119,42087,Tomato
Solapur,May,Red,83,54,43,6.72,27,74,75,31828,Tomato
Sangli,May,Red,119,46,49,6.62,23,84,69,57766,Tomato
Solapur,April,Black,93,42,44,6.58,26,43,73,30161,Tomato
Sangli,February,Loamy,110,58,56,6.64,22,61,73,30541,Tomato
Sangli,June,Black,110,43,58,6.44,23,69,104,36256,Tomato
Solapur,January,Red,107,54,50,6.73,25,84,82,64051,Tomato
Sangli,November,Loamy,85,54,53,6.75,26,48,65,60268,Tomato
Sangli,February,Loamy,92,50,56,6.59,25,84,119,54570,Tomato
Solapur,March,Black,98,49,42,6.43,22,44,113,52436,Tomato
Sangli,January,Black,89,44,43,6.13,23,78,88,35105,Tomato
Solapur,January,Black,115,45,48,6.16,28,70,73,53252,Tomato
Sangli,August,Red,109,46,42,6.28,27,49,65,64782,Tomato
Sangli,September,Black,85,51,48,6.49,27,82,106,45892,Tomato
Sangli,February,Black,106,46,45,6.9,21,71,69,41918,Tomato
Sangli,July,Black,105,51,53,6.73,29,60,118,64521,Tomato
Solapur,August,Black,98,58,51,6.35,28,72,99,59300,Tomato
Sangli,October,Black,86,40,56,6.98,21,67,107,48474,Tomato
Solapur,July,Red,96,41,45,6.23,21,40,54,47921,Tomato
Sangli,September,Red,89,41,55,6.41,26,61,89,60651,Tomato
Solapur,October,Loamy,111,46,59,6.54,23,61,64,36519,Tomato
Sangli,May,Loamy,101,59,53,6.24,28,79,107,69961,Tomato
Solapur,February,Black,82,47,51,6.54,23,74,55,56390,Tomato
Solapur,November,Red,98,44,58,6.2,29,47,73,63243,Tomato
Solapur,April,Black,100,47,48,6.4,27,57,91,36971,Tomato
Sangli,June,Red,86,55,42,6.36,21,82,89,36629,Tomato
Solapur,December,Black,87,44,55,6.15,23,69,119,35906,Tomato
Sangli,September,Loamy,95,40,52,6.98,24,69,62,31283,Tomato
Sangli,June,Red,110,44,42,6.53,28,59,83,54217,Tomato
Sangli,May,Loamy,107,48,59,6.92,25,58,109,46299,Tomato
Solapur,November,Red,88,41,42,6.88,29,60,77,50215,Tomato
Sangli,January,Black,114,59,41,6.35,21,50,106,48710,Tomato
Sangli,June,Black,84,51,50,6.84,22,72,65,52433,Tomato
Sangli,March,Loamy,118,45,48,6.66,20,47,112,39794,Tomato
Sangli,October,Black,117,54,42,6.76,24,53,66,63160,Tomato
Solapur,December,Black,94,57,58,6.91,26,66,95,32597,Tomato
Sangli,April,Black,87,42,58,6.98,23,64,89,53383,Tomato
Sangli,October,Red,102,55,58,6.97,22,81,68,54264,Tomato
Sangli,April,Black,86,53,48,6.3,26,58,96,34493,Tomato
Sangli,June,Black,115,47,56,6.24,20,64,63,59492,Tomato
Solapur,September,Loamy,93,48,43,6.06,27,41,90,35374,Tomato
Solapur,January,Red,91,42,50,7.0,21,60,70,43615,Tomato
Sangli,May,Loamy,112,48,48,6.67,20,73,114,53852,Tomato
Solapur,August,Red,91,53,54,6.14,22,65,101,53132,Tomato
Sangli,August,Black,117,59,58,6.24,26,67,77,63539,Tomato
Sangli,December,Black,82,51,41,6.27,26,80,50,62327,Tomato
Solapur,June,Red,101,57,56,6.04,25,65,76,49835,Tomato
Sangli,January,Black,108,52,56,6.62,22,84,105,35808,Tomato
Solapur,June,Black,87,50,59,6.11,29,78,98,47087,Tomato
Sangli,October,Loamy,88,44,56,6.62,27,60,100,33112,Tomato
Solapur,November,Red,98,50,52,6.93,20,79,68,42743,Tomato
Solapur,May,Black,91,55,40,6.82,26,67,118,67383,Tomato
Solapur,November,Red,102,52,54,6.06,23,57,67,34033,Tomato
Sangli,January,Loamy,115,57,44,6.12,27,59,64,44376,Tomato
Solapur,February,Loamy,108,48,49,6.36,29,53,100,41381,Tomato
Solapur,September,Loamy,107,42,59,6.64,24,41,87,63154,Tomato
Sangli,August,Red,96,48,51,6.3,20,84,111,42336,Tomato
Solapur,September,Loamy,103,45,50,6.43,22,84,102,40213,Tomato
Sangli,December,Red,111,42,42,6.86,28,62,97,40233,Tomato
Solapur,September,Red,115,40,46,6.51,24,46,117,69332,Tomato
Sangli,January,Black,99,58,49,6.65,22,82,60,41120,Tomato
Sangli,May,Red,91,45,40,6.11,20,84,99,69748,Tomato
Sangli,August,Loamy,82,50,52,6.38,25,82,113,55833,Tomato
Solapur,February,Red,94,49,44,6.84,24,81,84,57734,Tomato
Sangli,April,Red,88,56,52,6.61,23,56,71,57716,Tomato
Solapur,September,Black,92,41,52,6.76,26,42,91,39569,Tomato
Sangli,March,Red,100,53,51,6.24,26,43,50,64395,Tomato
Solapur,August,Black,114,52,54,6.82,23,56,73,69673,Tomato
Solapur,May,Loamy,100,47,44,6.48,23,58,113,31140,Tomato
Sangli,November,Red,91,50,46,6.12,20,59,90,30557,Tomato
Sangli,December,Red,96,58,58,6.51,23,71,119,37166,Tomato
Solapur,October,Red,90,40,54,6.61,28,56,100,33802,Tomato
Sangli,December,Loamy,83,46,52,6.48,28,47,94,38016,Tomato
Solapur,January,Black,111,47,58,6.31,22,44,62,55518,Tomato
Sangli,July,Red,111,50,42,6.69,29,60,115,41944,Tomato
Sangli,March,Red,109,54,42,7.0,27,65,79,40886,Tomato
Solapur,January,Black,116,40,54,6.14,27,47,54,37295,Tomato
Solapur,January,Loamy,81,47,48,6.72,23,69,52,62955,Tomato
Solapur,February,Black,98,45,55,6.68,20,73,65,45717,Tomato
Sangli,February,Red,105,52,54,6.21,21,78,116,32951,Tomato
Solapur,August,Red,106,46,46,6.23,28,69,102,65596,Tomato
Solapur,March,Black,98,56,49,6.59,27,59,81,42145,Tomato
Sangli,February,Red,103,54,43,6.14,26,47,61,58278,Tomato
Solapur,February,Red,113,50,48,6.75,28,70,75,33167,Tomato
Sangli,June,Black,102,57,47,6.0,24,83,113,35276,Tomato
Sangli,November,Black,80,50,58,6.56,21,83,117,61331,Tomato
Sangli,March,Black,98,56,45,6.38,22,76,66,62441,Tomato
Solapur,October,Black,112,49,54,6.17,24,82,62,59796,Tomato
Solapur,August,Loamy,96,43,54,6.94,28,60,61,31316,Tomato
Sangli,January,Black,118,48,42,6.46,21,53,62,32257,Tomato
Solapur,April,Loamy,81,55,48,6.66,25,61,94,48156,Tomato
Sangli,September,Loamy,115,57,42,6.32,24,67,103,38547,Tomato
Solapur,December,Loamy,114,52,56,6.11,29,83,96,32100,Tomato
Sangli,May,Red,103,41,56,6.12,29,74,74,64926,Tomato
Sangli,January,Red,103,50,43,6.04,29,77,114,50307,Tomato
Solapur,December,Loamy,96,47,51,6.13,24,81,108,60116,Tomato
Sangli,July,Black,104,40,46,6.35,24,75,56,50936,Tomato
Sangli,November,Black,102,47,52,6.4,23,79,116,58572,Tomato
Solapur,February,Red,107,52,54,6.06,29,43,58,63398,Tomato
Solapur,August,Red,90,54,48,6.2,29,83,106,62793,Tomato
Solapur,October,Loamy,98,50,52,6.81,27,43,77,38682,Tomato
Solapur,January,Loamy,117,54,48,6.69,29,44,101,65063,Tomato
Sangli,January,Red,117,41,54,6.35,29,60,95,57076,Tomato
Sangli,June,Red,101,57,53,6.55,22,69,55,31116,Tomato
Sangli,December,Black,112,56,55,6.99,21,50,77,58328,Tomato
Sangli,April,Loamy,105,51,50,6.46,21,58,104,60873,Tomato
Sangli,April,Loamy,108,41,56,6.96,24,55,115,35366,Tomato
Sangli,October,Red,111,43,54,6.23,26,56,108,66435,Tomato
Sangli,February,Red,108,51,48,6.84,23,76,77,66777,Tomato
Solapur,November,Black,103,49,47,6.85,27,66,71,57236,Tomato
Solapur,September,Black,82,51,52,6.0,23,48,103,49702,Tomato
Solapur,February,Loamy,80,46,56,6.64,23,69,84,33696,Tomato
Solapur,November,Red,93,56,57,6.99,23,66,117,45417,Tomato
Sangli,April,Loamy,89,50,48,6.04,29,40,66,64540,Tomato
Solapur,April,Black,90,58,42,6.33,22,58,109,44534,Tomato
Solapur,July,Loamy,105,47,44,6.42,23,62,64,65948,Tomato
Solapur,August,Black,98,55,46,6.03,28,66,117,46654,Tomato
Solapur,May,Black,82,54,47,6.05,23,73,73,40775,Tomato
Sangli,April,Loamy,113,56,59,6.43,24,70,102,67544,Tomato
Solapur,September,Red,85,44,49,6.2,26,77,110,68402,Tomato
Sangli,March,Red,83,51,45,6.73,23,80,118,52412,Tomato
Solapur,October,Red,109,44,55,6.82,28,75,88,57127,Tomato
Sangli,May,Red,100,47,56,6.38,26,70,91,33273,Tomato
Sangli,November,Red,88,56,50,6.63,25,56,117,52063,Tomato
Sangli,September,Loamy,100,44,45,6.78,28,75,115,50583,Tomato
Solapur,July,Loamy,85,40,54,6.69,26,56,83,43050,Tomato
Solapur,September,Black,85,45,59,6.98,22,56,112,55675,Tomato
Sangli,July,Black,96,42,54,6.51,23,57,92,64675,Tomato
Solapur,August,Red,112,53,41,6.44,23,63,108,49356,Tomato
Solapur,June,Black,112,56,47,6.05,20,44,76,30389,Tomato
Sangli,March,Loamy,91,55,50,6.87,23,70,117,57798,Tomato
Sangli,August,Red,116,47,46,6.31,26,42,65,41254,Tomato
Solapur,March,Red,95,47,40,6.55,24,50,54,62026,Tomato
Sangli,January,Red,112,44,53,6.61,27,72,111,46402,Tomato
Sangli,May,Loamy,81,54,46,6.94,23,46,63,52742,Tomato
Solapur,June,Black,99,57,49,6.91,27,65,111,68556,Tomato
Sangli,January,Red,85,44,48,6.74,29,59,90,44256,Tomato
Solapur,January,Loamy,82,49,41,6.48,21,63,87,34117,Tomato
Sangli,November,Loamy,118,54,45,6.07,28,59,68,59267,Tomato
Solapur,February,Red,113,42,45,6.25,29,48,97,66963,Tomato
Solapur,December,Red,108,43,40,6.12,28,49,102,45438,Tomato
Solapur,June,Loamy,100,43,41,6.37,20,84,117,43318,Tomato
Solapur,September,Loamy,80,49,43,6.73,29,71,81,60981,Tomato
Sangli,June,Black,89,57,57,6.09,24,64,77,59038,Tomato
Solapur,April,Black,88,58,56,6.55,28,81,99,40451,Tomato
Solapur,August,Loamy,102,54,59,6.01,20,44,92,35039,Tomato
Sangli,August,Loamy,82,40,50,6.59,26,49,87,34370,Tomato
Sangli,November,Loamy,92,53,42,6.62,20,66,57,63458,Tomato
Sangli,October,Black,88,45,50,6.54,20,67,103,57172,Tomato
Solapur,February,Loamy,100,41,50,6.64,25,79,85,58273,Tomato
Sangli,November,Black,94,57,41,6.5,29,52,53,61957,Tomato
Sangli,July,Black,103,43,54,6.28,22,53,87,60449,Tomato
Solapur,January,Red,117,55,44,6.79,24,46,116,65436,Tomato
Solapur,April,Loamy,114,43,44,6.01,27,81,72,62828,Tomato
Solapur,October,Black,111,44,43,6.63,20,81,107,49238,Tomato
Sangli,January,Black,100,48,45,6.55,22,78,71,65240,Tomato
Sangli,May,Red,102,56,51,6.86,22,69,106,57518,Tomato
Sangli,September,Black,116,52,53,6.38,26,84,66,66455,Tomato
Solapur,February,Black,85,51,57,6.3,25,72,79,34733,Tomato
Solapur,October,Loamy,93,49,54,6.11,23,73,77,56829,Tomato
Solapur,July,Loamy,98,54,47,6.99,28,72,111,66320,Tomato
Solapur,March,Red,119,54,49,6.17,21,73,62,31920,Tomato
Sangli,January,Black,108,46,56,6.21,24,65,98,45810,Tomato
Solapur,October,Black,118,40,56,6.61,28,42,78,66468,Tomato
Solapur,October,Black,107,48,40,6.47,25,55,90,40738,Tomato
Sangli,March,Red,86,53,58,6.82,28,84,64,34994,Tomato
Solapur,May,Red,109,47,57,6.9,21,71,57,32581,Tomato
Sangli,December,Loamy,119,43,54,6.07,28,84,115,36476,Tomato
Solapur,June,Loamy,99,49,42,6.22,25,53,113,44394,Tomato
Solapur,April,Loamy,90,50,50,6.83,20,48,80,53675,Tomato
Sangli,August,Loamy,104,43,47,6.43,29,76,94,65622,Tomato
Sangli,October,Black,114,44,58,6.62,26,67,58,65710,Tomato
Sangli,June,Black,96,55,42,6.43,29,75,111,49275,Tomato
Sangli,November,Red,95,47,47,6.31,27,84,108,40625,Tomato
Sangli,December,Red,90,54,55,6.08,21,51,72,37485,Tomato
Sangli,January,Red,117,54,42,6.94,20,69,94,52495,Tomato
Sangli,May,Red,92,43,46,6.26,26,54,53,54031,Tomato
